"","Name","Birthday","ContractDate","AgeAtSigning","ContractLength","AAV","SalaryCap","pctCap","TOI","Goals60","Assists60","Points60","PlusMinus60","PenaltyMinutes60","EvenStrGoals60","EvenStrPoints60","ppGoals60","ppPoints60","shGoals60","shPoints60","GameWinningGoals60","Shots60","COLA","fBracket","fRate","fMarginal","sBracket","sRate","sMarginal","Local","contractSeason","prevSeason","pyTOI","pyGoals60","pyAssists60","pyPoints60","pyPlusMinus60","pyPenaltyMinutes60","pyEvenStrGoals60","pyEvenStrPoints60","pyppGoals60","pyppPoints60","pyshGoals60","pyshPoints60","pyGameWinningGoals60","pyShots60","GoalsChange","AssistsChange","PointsChange","PlusMinusChange","PenaltyMinutesChange","EvenStrGoalsChange","EvenStrPointsChange","ppGoalsChange","ppPointsChange","shGoalsChange","shPointsChange","GameWinningGoalsChange","ShotsChange","TOIChange","fTaxes","sTaxes","lTaxes","Escrow","Agent","netIncome","LANI","Country.Austria","Country.Belarus","Country.Belgium","Country.Canada","Country.Czech Republic","Country.Denmark","Country.Estonia","Country.Finland","Country.France","Country.Germany","Country.Italy","Country.Kazakhstan","Country.Latvia","Country.Netherlands","Country.Norway","Country.Russia","Country.Slovakia","Country.Slovenia","Country.Sweden","Country.Switzerland","Country.Ukraine","Country.United Kingdom","Country.United States","Team.ANA","Team.ARI","Team.ATL","Team.BOS","Team.BUF","Team.CAR","Team.CBJ","Team.CGY","Team.CHI","Team.COL","Team.DAL","Team.DET","Team.EDM","Team.FLA","Team.LAK","Team.MIN","Team.MTL","Team.NJD","Team.NSH","Team.NYI","Team.NYR","Team.OTT","Team.PHI","Team.PHX","Team.PIT","Team.SJS","Team.STL","Team.TBL","Team.TOR","Team.VAN","Team.VGK","Team.WPG","Team.WSH","Handed.L","Handed.R","Position.C","Position.L","Position.R"
"96","Corey Perry",1985-05-16,2019-07-01,34,1,3250000,79500000,0.0408805031446541,459.316666666667,0.783772996117421,0.522515330744947,1.30628832686237,-2.09006132297979,3.52697848252839,0.522515330744947,0.783772996117421,0.261257665372474,0.522515330744947,0,0,0.130628832686237,7.70710112848797,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2019,2018,1262.61666666667,0.807846139630661,1.52065155695183,2.32849769658249,-0.190081444618979,3.37394564198688,0.617764695011682,1.8057737238803,0.190081444618979,0.522723972702193,0,0,0.0475203611547448,7.98342067399712,-0.0297991688420351,-0.656387205631554,-0.438999519398456,9.99560941979027,0.0453572335716102,-0.154183890785364,-0.56596278606091,0.374451177473784,-0.000399143655430198,0,0,1.74890235494757,-0.0346116729648425,-0.636218435260108,1139649,391775.358,0,438750,130000,1149825.642,1210342.78105263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"98","Ondrej Kase",1995-11-08,2018-08-15,22,3,2600000,75000000,0.0346666666666667,918.5,1.30647795318454,1.17583015786609,2.48230811105063,1.17583015786609,0.914534567229178,1.24115405552531,2.28633641807295,0.065323897659227,0.195971692977681,0,0,0.326619488296135,9.53728905824714,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2018,2017,624.516666666667,0.480371487283499,0.960742974566999,1.4411144618505,-0.0960742974566998,1.7293373542206,0.480371487283499,1.4411144618505,0,0,0,0,0.1921485949134,7.39772090416589,1.71972418798766,0.223875884594447,0.722491985725519,-13.2387588459445,-0.471164741224621,1.58373797858828,0.586505776326136,0,0,0,0,0.699827617492288,0.289219907292852,0.47073737023298,899149,305325.358,0,351000,104000,940525.642,990026.991578947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"108","Brad Richardson",1985-02-04,2018-07-03,33,2,1250000,75000000,0.0166666666666667,1122.26666666667,0.160389687537127,0.641558750148509,0.801948437685636,-1.28311750029702,2.40584531305691,0.160389687537127,0.801948437685636,0,0,0,0,0,5.61363906379945,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2018,2017,245.6,1.2214983713355,0.977198697068404,2.19869706840391,-0.244299674267101,3.66449511400651,0.732899022801303,1.46579804560261,0,0,0.488599348534202,0.732899022801303,0,6.10749185667752,-0.868694309136272,-0.343471545681359,-0.635261969822977,4.25222763454913,-0.343471545681359,-0.781157181893786,-0.452892954734466,0,0,-1,-1,0,-0.0808601639539028,3.56948968512486,399649,55553.67,0,168750,50000,576047.33,944339.885245902,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"111","Lawson Crouse",1997-06-23,2019-07-02,22,3,1533333,79500000,0.0192872075471698,1048.95,0.629200629200629,0.800800800800801,1.43000143000143,0.286000286000286,3.83240383240383,0.514800514800515,1.31560131560132,0,0,0.114400114400114,0.114400114400114,0.0572000572000572,7.49320749320749,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2019,2018,120.266666666667,0.498891352549889,0,0.498891352549889,-2.99334811529933,3.49223946784922,0.498891352549889,0.498891352549889,0,0,0,0,0,6.48558758314856,0.26119770564215,0,1.86635842191398,-1.09554528073047,0.0974057958184941,0.031889031889032,1.63704974816086,0,0,0,0,0,0.155362933140711,7.72186807095344,504482.21,68303.655,0,206999.955,61333.32,692213.86,1134776.81967213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"115","Max Domi",1995-03-02,2018-06-16,23,2,3150000,75000000,0.042,1369.4,0.394333284650212,1.57733313860085,1.97166642325106,-0.306703665839054,3.19848108660727,0.350518475244633,1.57733313860085,0.0438148094055791,0.394333284650212,0,0,0,6.57222141083686,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2018,2017,1002.01666666667,0.538913191730011,1.73649806224115,2.27541125397116,-0.538913191730011,2.39516974102227,0.479033948204454,1.7963773057667,0.0598792435255568,0.479033948204454,0,0,0.0598792435255568,6.46695830076013,-0.268280512146439,-0.0916585668024758,-0.133490080173414,-0.430884842780563,0.33538806533275,-0.268280512146439,-0.121936614575726,-0.268280512146439,-0.176815576164744,0,0,-1,0.0162770664632797,0.366643934731624,1102649,141053.67,0,425250,126000,1355047.33,2221389.06557377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"117","Josh Archibald",1992-10-06,2019-07-16,26,1,1000000,79500000,0.0125786163522013,922.533333333333,0.780459603989016,0.65038300332418,1.4308426073132,0.065038300332418,0.97557450498627,0.780459603989016,1.36580430698078,0,0,0,0.065038300332418,0.065038300332418,5.98352363058245,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2019,2018,501.9,0.597728631201434,0.717274357441722,1.31500298864316,-0.239091452480574,2.98864315600717,0.597728631201434,1.31500298864316,0,0,0,0,0,5.02092050209205,0.305708917473624,-0.0932576961988727,0.0880907645613527,-1.27202269114034,-0.673572770631594,0.305708917473624,0.0386320934449276,0,0,0,0,0,0.191718456424339,0.838081955236767,307149,44303.67,0,135000,40000,473547.33,776307.098360656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"121","Christian Dvorak",1996-02-02,2018-08-09,23,6,4450000,75000000,0.0593333333333333,1281.8,0.702137618973319,1.02980184116087,1.73193946013419,-0.889374317366204,1.02980184116087,0.608519269776876,1.40427523794664,0.0936183491964425,0.327664222187549,0,0,0.0936183491964425,7.06818536433141,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2018,2017,1218.1,0.738855594778754,0.886626713734505,1.62548230851326,0.344799277563418,1.08365487234217,0.64034151547492,1.37919711025367,0.0985140793038338,0.246285198259585,0,0,0.0492570396519169,4.33461948936869,-0.0496957403651112,0.161482983998197,0.0654926547421479,-3.57939727615184,-0.0496957403651117,-0.0496957403651116,0.018183135323095,-0.0496957403651112,0.330425963488844,0,0,0.900608519269777,0.630635718237138,0.0522945570971183,1583649,199553.67,0,600750,178000,1888047.33,3095159.55737705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"144","Nick Cousins",1993-07-20,2019-07-05,25,1,1000000,79500000,0.0125786163522013,1097.55,0.3826704933716,1.093344266776,1.4760147601476,-0.4373377067104,1.913352466858,0.3280032800328,1.3120131201312,0.0546672133388001,0.1640016400164,0,0,0.1093344266776,7.87207872078721,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2019,2018,913.533333333333,0.788148580602788,0.459753338684959,1.24790191928775,-0.459753338684959,2.03605049989053,0.722469532219222,1.18222287090418,0.0656790483835656,0.0656790483835656,0,0,0.0656790483835656,7.81580675764431,-0.514469095308237,1.37811055359231,0.182797091128806,-0.0487557785630765,-0.0602627651127168,-0.545997076132377,0.109784925009744,-0.167661306242692,1.49701608127192,0,0,0.664677387514616,0.00719976387438949,0.201433992556374,307149,44303.67,0,135000,40000,473547.33,776307.098360656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"146","Jordan Martinook",1992-07-25,2019-01-29,26,2,2000000,75000000,0.0266666666666667,1135.35,0.317082837891399,0.475624256837099,0.792707094728498,-1.2683313515656,2.37812128418549,0.317082837891399,0.739859955079931,0,0,0,0.0528471396485665,0.0528471396485665,5.91887964063945,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0,2018,2017,1207.61666666667,0.546531045999696,0.695584967635977,1.24211601363567,-0.397477124363416,1.98738562181708,0.447161764908842,0.993692810908539,0.0496846405454269,0.0993692810908539,0.0496846405454269,0.149053921636281,0.0993692810908539,5.41562581945154,-0.419826485224821,-0.31622407187211,-0.361809133747303,2.19095433126349,0.196607874223808,-0.290899037497003,-0.255443989371853,-1,-1,-1,-0.645449518748501,-0.468174278122752,0.0929262541330597,-0.0598423892791587,677149,89303.67,0,270000,80000,883547.33,1448438.24590164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"155","Sean Kuraly",1993-01-20,2018-07-03,25,3,1275000,75000000,0.017,918.75,0.391836734693878,0.522448979591837,0.914285714285714,-0.326530612244898,2.61224489795918,0.391836734693878,0.848979591836735,0,0,0,0.0653061224489796,0.0653061224489796,8.75102040816327,1.05,622050,0.37,167307.5,0,0.05,0,0,2018,2017,73.6,0,0.815217391304348,0.815217391304348,-0.815217391304348,1.6304347826087,0,0.815217391304348,0,0,0,0,0,8.96739130434783,0,-0.35912925170068,0.121523809523809,-0.599455782312925,0.602176870748299,0,0.0414149659863944,0,0,0,0,0,-0.0241286332714906,11.4830163043478,408899,63750,0,172125,51000,579226,551643.809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"163","David Pastrnak",1996-05-25,2017-09-14,21,6,6666666,73000000,0.0913241917808219,1348.75,1.51251158480074,1.6014828544949,3.11399443929564,0.489341983317887,1.51251158480074,1.06765523632993,2.04633920296571,0.444856348470806,1.06765523632993,0,0,0.266913809082484,11.6552363299351,1.05,622050,0.37,167307.5,0,0.05,0,0,2017,2016,711.45,1.26502213788741,0.927682901117436,2.19270503900485,0.253004427577483,1.68669618384988,1.26502213788741,2.10837022981236,0,0.0843348091924942,0,0,0.168669618384988,9.10815939278937,0.195640407784986,0.726325722470301,0.420161117844158,0.934124189063948,-0.103269694161261,-0.156018535681186,-0.0294213160333644,0,11.6597219647822,0,0,0.582465245597775,0.27964782205746,0.895776231639609,2403815.42,333333.3,0,899999.91,266666.64,2762850.73,2631286.40952381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"166","Marcus Johansson",1990-10-06,2019-07-06,28,2,4500000,79500000,0.0566037735849057,923.166666666667,0.844917855208521,1.10489257988807,1.94981043509659,-1.03989889871818,0.51994944935909,0.714930492868749,1.36486730456761,0.129987362339773,0.584943130528976,0,0,0.0649936811698863,7.47427333453692,1.05,622050,0.37,167307.5,0,0.05,0,0,2019,2018,463.516666666667,0.647225917802309,1.16500665204416,1.81223256984646,-1.42389701916508,1.81223256984646,0.517780734241847,1.42389701916508,0.129445183560462,0.388335550681385,0,0,0,5.43669770953939,0.30544502617801,-0.0515997673065737,0.0759162303664923,-0.269681104236078,-0.713089005235602,0.380759162303665,-0.0414564493098524,0.00418848167539273,0.506282722513089,0,0,0,0.37478184991274,0.991657977059437,1602149,225000,0,607500,180000,1885351,1795572.38095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
