PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,POS,HANDED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
11. Zach Parise,MIN,34,"Jul 28, 1984",United States,LW,Left,,,,44,14,12,26,0.59,-9,100,0.14,17:21,-,-,-,-,-,Standard (1-way),,"Jul 4, 2012",27,,,NMC,13,UFA,UFA,2025,"$7,538,461",12.60%,"$7,538,461","$9,000,000","$9,000,000","$9,000,000",$0,$0
12. Ryan Suter,MIN,34,"Jan 21, 1985",United States,D,Left,,,,44,6,24,30,0.68,-6,72,0.08,25:09:00,-,-,-,-,-,Standard (1-way),,"Jul 4, 2012",27,,,NMC,13,UFA,UFA,2025,"$7,538,461",12.60%,"$7,538,461","$9,000,000","$9,000,000","$9,000,000",$0,$0
13. Shea Weber,MTL,33,"Aug 14, 1985",Canada,D,Right,,,,46,12,20,32,0.7,8,135,0.09,24:20:00,-,-,-,-,-,Standard (1-way),,"Jul 24, 2012",26,✔,,,14,RFA,UFA,2026,"$7,857,143",13.10%,"$7,857,143","$6,000,000","$6,000,000","$6,000,000",$0,$0
14. Taylor Hall,ARI,27,"Nov 14, 1991",Canada,"LW, C",Left,,,,42,9,24,33,0.79,-15,145,0.06,18:19,-,-,-,-,-,Standard (1-way),✔,"Aug 22, 2012",20,,,,7,RFA,UFA,2020,"$6,000,000",10.00%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
15. Travis Zajac,NJD,34,"May 13, 1985",Canada,C,Right,,,,44,5,11,16,0.36,-4,43,0.12,17:04,-,-,-,-,-,Standard (1-way),✔,"Jan 16, 2013",27,,,NTC,8,UFA,UFA,2021,"$5,750,000",8.90%,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0
16. Ryan Getzlaf,ANA,34,"May 10, 1985",Canada,C,Right,,,,43,11,19,30,0.7,-7,99,0.11,18:56,-,-,-,-,-,Standard (1-way),✔,"Mar 8, 2013",27,,,NMC,8,UFA,UFA,2021,"$8,250,000",12.80%,"$8,250,000","$8,275,000","$8,275,000","$8,275,000",$0,$0
17. Roman Josi,NSH,29,"Jun 1, 1990",Switzerland,D,Left,,,,43,14,32,46,1.07,21,156,0.09,25:46:00,-,-,-,-,-,Standard (1-way),✔,"Jun 10, 2013",23,,,,7,RFA,UFA,2020,"$4,000,000",6.20%,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
18. Evgeni Malkin,PIT,32,"Jul 31, 1986",Russia,C,Left,,,,31,13,29,42,1.35,16,108,0.12,19:25,-,-,-,-,-,Standard (1-way),✔,"Jul 1, 2013",27,,,NMC,8,UFA,UFA,2022,"$9,500,000",14.80%,"$9,500,000","$9,500,000","$9,500,000","$9,500,000",$0,$0
19. Kris Letang,PIT,32,"Apr 24, 1987",Canada,D,Right,,,,36,10,18,28,0.78,9,106,0.09,25:29:00,-,-,-,-,-,Standard (1-way),✔,"Jul 1, 2013",27,,,"M-NTC, NMC",8,UFA,UFA,2022,"$7,250,000",11.30%,"$7,250,000","$7,250,000","$7,250,000","$7,250,000",$0,$0
20. Claude Giroux,PHI,31,"Jan 12, 1988",Canada,"LW, C, RW",Right,,,,45,13,18,31,0.69,9,138,0.09,19:22,-,-,-,-,-,Standard (1-way),✔,"Jul 4, 2013",25,✔,,NMC,8,RFA,UFA,2022,"$8,275,000",12.90%,"$8,275,000","$8,000,000","$5,000,000","$8,000,000","$3,000,000",$0
21. David Clarkson,TOR,35,"Mar 31, 1984",Canada,RW,Right,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),,"Jul 5, 2013",29,,,"M-NTC, NMC",7,UFA,UFA,2020,"$5,250,000",8.20%,"$5,250,000","$3,250,000","$1,000,000","$3,250,000","$2,250,000",$0
22. Nathan Horton,TOR,34,"May 29, 1985",Canada,RW,Right,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),,"Jul 5, 2013",28,,,"M-NTC, NMC",7,UFA,UFA,2020,"$5,300,000",8.20%,"$5,300,000","$3,600,000","$3,600,000","$3,600,000",$0,$0
23. Travis Hamonic,CGY,28,"Aug 16, 1990",Canada,D,Right,,,,41,3,5,8,0.2,1,68,0.04,21:18,-,-,-,-,-,Standard (1-way),,"Jul 5, 2013",22,,,,7,RFA,UFA,2020,"$3,857,143",6.00%,"$3,857,143","$4,875,000","$4,875,000","$4,875,000",$0,$0
24. Tuukka Rask,BOS,32,"Mar 10, 1987",Finland,G,Left,,,,27,-,-,-,-,-,-,-,-,17,4,2,2.27,0.925,Standard (1-way),,"Jul 10, 2013",26,✔,,M-NTC,8,RFA,UFA,2021,"$7,000,000",10.90%,"$7,000,000","$6,500,000","$6,500,000","$6,500,000",$0,$0
25. Patrice Bergeron,BOS,33,"Jul 24, 1985",Canada,C,Right,,,,37,19,19,38,1.03,13,132,0.14,19:24,-,-,-,-,-,Standard (1-way),✔,"Jul 12, 2013",28,,,NMC,8,UFA,UFA,2022,"$6,875,000",10.70%,"$6,875,000","$4,375,000","$875,000","$4,375,000","$3,500,000",$0
26. Dustin Brown,LAK,34,"Nov 4, 1984",United States,"RW, LW",Right,,,,43,8,11,19,0.44,-3,101,0.08,18:33,-,-,-,-,-,Standard (1-way),✔,"Jul 18, 2013",29,,,M-NTC,8,UFA,UFA,2022,"$5,875,000",9.10%,"$5,875,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
27. Zach Bogosian,BUF,28,"Jul 15, 1990",United States,D,Right,,,,15,0,4,4,0.27,3,13,0,17:15,-,-,-,-,-,Standard (1-way),,"Jul 29, 2013",22,✔,✔,,7,RFA,UFA,2020,"$5,142,857",8.00%,"$5,142,857","$6,000,000","$6,000,000","$6,000,000",$0,$0
28. Gabriel Landeskog,COL,26,"Nov 23, 1992",Sweden,LW,Left,,,,29,11,8,19,0.66,-8,81,0.14,19:39,-,-,-,-,-,Standard (1-way),✔,"Aug 16, 2013",20,,,M-NTC,7,RFA,UFA,2021,"$5,571,429",8.70%,"$5,571,429","$6,000,000","$6,000,000","$6,000,000",$0,$0
29. Corey Crawford,CHI,34,"Dec 31, 1984",Canada,G,Left,,,,23,-,-,-,-,-,-,-,-,7,13,1,3.09,0.906,Standard (1-way),✔,"Sep 2, 2013",29,,,"M-NTC, NMC",6,UFA,UFA,2020,"$6,000,000",9.30%,"$6,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
30. Alex Pietrangelo,STL,29,"Jan 18, 1990",Canada,D,Right,,,,46,12,25,37,0.8,11,145,0.08,23:59,-,-,-,-,-,Standard (1-way),,"Sep 14, 2013",23,,,NTC,7,RFA,UFA,2020,"$6,500,000",10.10%,"$6,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0
31. Ryan Nugent-Hopkins,EDM,26,"Apr 12, 1993",Canada,"C, LW",Left,,,,41,12,18,30,0.73,-3,93,0.13,19:44,-,-,-,-,-,Standard (1-way),✔,"Sep 19, 2013",20,,,,7,RFA,UFA,2021,"$6,000,000",9.30%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
32. Phil Kessel,ARI,31,"Oct 2, 1987",United States,RW,Right,,,,47,9,18,27,0.57,-19,105,0.09,17:38,-,-,-,-,-,Standard (1-way),✔,"Oct 1, 2013",25,,,"M-NTC, NMC",8,UFA,UFA,2022,"$8,000,000",12.40%,"$8,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
33. Jonathan Ericsson,DET,35,"Mar 2, 1984",Sweden,D,Left,,,,9,0,0,0,0,-7,8,0,15:59,-,-,-,-,-,Standard (1-way),✔,"Nov 27, 2013",30,,,M-NTC,6,UFA,UFA,2020,"$4,250,000",6.60%,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
34. Henrik Lundqvist,NYR,37,"Mar 2, 1982",Sweden,G,Left,,,,25,-,-,-,-,-,-,-,-,9,10,0,3.18,0.907,Standard (1-way),✔,"Dec 4, 2013",31,,,NMC,7,UFA,UFA,2021,"$8,500,000",13.20%,"$8,500,000","$7,000,000","$6,000,000","$7,000,000","$1,000,000",$0
35. Justin Faulk,STL,27,"Mar 20, 1992",United States,D,Right,,,,46,3,9,12,0.26,-3,100,0.03,20:39,-,-,-,-,-,Standard (1-way),✔,"Mar 24, 2014",22,,,NTC,6,RFA,UFA,2020,"$4,833,333",7.50%,"$4,833,333","$6,000,000","$6,000,000","$6,000,000",$0,$0
36. Ryan Callahan,OTT,34,"Mar 21, 1985",United States,RW,Right,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),✔,"Jun 25, 2014",29,,,"M-NTC, NMC",6,UFA,UFA,2020,"$5,800,000",9.00%,"$5,800,000","$4,700,000","$4,700,000","$4,700,000",$0,$0
37. Marián Gáborík,OTT,37,"Feb 14, 1982",Slovakia,RW,Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),✔,"Jun 26, 2014",32,,,,7,UFA,UFA,2021,"$4,875,000",7.60%,"$4,875,000","$3,175,000","$3,175,000","$3,175,000",$0,$0
38. Matt Niskanen,PHI,32,"Dec 6, 1986",United States,D,Right,,,,44,5,12,17,0.39,-2,82,0.06,21:49,-,-,-,-,-,Standard (1-way),,"Jul 1, 2014",27,,,M-NTC,7,UFA,UFA,2021,"$5,750,000",8.30%,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0
39. Cory Schneider,NJD,33,"Mar 18, 1986",United States,G,Left,,,,6,-,-,-,-,-,-,-,-,0,4,0,4.59,0.852,Standard (1-way),✔,"Jul 9, 2014",28,,,NTC,7,UFA,UFA,2022,"$6,000,000",8.70%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
40. Patrick Kane,CHI,30,"Nov 19, 1988",United States,"RW, C",Left,,,,46,24,33,57,1.24,0,169,0.14,21:19,-,-,-,-,-,Standard (1-way),✔,"Jul 9, 2014",26,,,NMC,8,UFA,UFA,2023,"$10,500,000",15.20%,"$10,500,000","$9,800,000","$3,800,000","$9,800,000","$6,000,000",$0
41. Jonathan Toews,CHI,31,"Apr 29, 1988",Canada,C,Left,,,,46,11,24,35,0.76,-6,108,0.1,19:36,-,-,-,-,-,Standard (1-way),✔,"Jul 9, 2014",26,,,NMC,8,UFA,UFA,2023,"$10,500,000",15.20%,"$10,500,000","$9,800,000","$3,800,000","$9,800,000","$6,000,000",$0
42. Brandon Dubinsky,CBJ,33,"Apr 29, 1986",United States,"C, LW",Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),✔,"Jul 11, 2014",29,,,"M-NTC, NMC",6,UFA,UFA,2021,"$5,850,000",8.50%,"$5,850,000","$5,850,000","$5,850,000","$5,850,000",$0,$0
43. Andy Greene,NJD,36,"Oct 30, 1982",United States,D,Left,,,,40,0,6,6,0.15,1,33,0,20:00,-,-,-,-,-,Standard (1-way),✔,"Jul 30, 2014",31,,,NTC,5,UFA,UFA,2020,"$5,000,000",7.20%,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
44. P.K. Subban,NJD,30,"May 13, 1989",Canada,D,Right,,,,44,5,5,10,0.23,-13,104,0.05,21:47,-,-,-,-,-,Standard (1-way),,"Aug 2, 2014",25,✔,✔,,8,RFA,UFA,2022,"$9,000,000",13.00%,"$9,000,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
45. Clarke MacArthur,OTT,34,"Apr 6, 1985",Canada,LW,Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),✔,"Aug 19, 2014",30,,,M-NTC,5,UFA,UFA,2020,"$4,650,000",6.70%,"$4,650,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
46. David Krejci,BOS,33,"Apr 28, 1986",Czech Republic,C,Right,,,,39,9,21,30,0.77,17,51,0.18,17:21,-,-,-,-,-,Standard (1-way),✔,"Sep 7, 2014",28,,,M-NTC,6,UFA,UFA,2021,"$7,250,000",10.50%,"$7,250,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
47. Justin Braun,PHI,32,"Feb 10, 1987",United States,D,Right,,,,42,2,8,10,0.24,-10,52,0.04,17:29,-,-,-,-,-,Standard (1-way),✔,"Sep 20, 2014",27,,,,5,UFA,UFA,2020,"$3,800,000",5.50%,"$3,800,000","$3,800,000","$3,800,000","$3,800,000",$0,$0
48. Bobby Ryan,OTT,32,"Mar 17, 1987",United States,"RW, LW",Right,,,,16,1,3,4,0.25,0,21,0.05,12:14,-,-,-,-,-,Standard (1-way),✔,"Oct 2, 2014",28,,,"M-NTC, NMC",7,UFA,UFA,2022,"$7,250,000",10.50%,"$7,250,000","$7,500,000","$5,500,000","$7,500,000","$2,000,000",$0
49. Jonas Brodin,MIN,25,"Jul 12, 1993",Sweden,D,Left,,,,44,1,16,17,0.39,10,61,0.02,21:16,-,-,-,-,-,Standard (1-way),✔,"Oct 13, 2014",21,,,,6,RFA,UFA,2021,"$4,166,667",6.00%,"$4,166,667","$4,750,000","$4,750,000","$4,750,000",$0,$0
50. Jake Muzzin,TOR,30,"Feb 21, 1989",Canada,D,Left,,,,38,3,10,13,0.34,8,69,0.04,21:21,-,-,-,-,-,Standard (1-way),✔,"Oct 16, 2014",25,✔,,,5,RFA,UFA,2020,"$4,000,000",5.80%,"$4,000,000","$4,450,000","$4,450,000","$4,450,000",$0,$0
51. TJ Brodie,CGY,29,"Jun 7, 1990",Canada,D,Left,,,,41,1,13,14,0.34,6,40,0.03,19:39,-,-,-,-,-,Standard (1-way),✔,"Oct 20, 2014",25,✔,,M-NTC,5,RFA,UFA,2020,"$4,650,400",6.70%,"$4,650,400","$4,838,000","$4,838,000","$4,838,000",$0,$0
52. Charlie Coyle,BOS,27,"Mar 2, 1992",United States,"C, RW",Right,,,,46,8,15,23,0.5,3,89,0.09,16:24,-,-,-,-,-,Standard (1-way),✔,"Oct 23, 2014",23,,,,5,RFA,UFA,2020,"$3,200,000",4.60%,"$3,200,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
53. Marco Scandella,MTL,29,"Feb 23, 1990",Canada,D,Left,,,,36,3,6,9,0.25,7,44,0.07,16:35,-,-,-,-,-,Standard (1-way),✔,"Nov 29, 2014",24,✔,,,5,RFA,UFA,2020,"$4,000,000",5.80%,"$4,000,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
54. Brendan Gallagher,MTL,27,"May 6, 1992",Canada,RW,Right,,,,41,15,17,32,0.78,5,162,0.09,16:57,-,-,-,-,-,Standard (1-way),✔,"Nov 29, 2014",23,,,,6,RFA,UFA,2021,"$3,750,000",5.40%,"$3,750,000","$4,000,000","$2,500,000","$4,000,000","$1,500,000",$0
55. Alec Martinez,LAK,31,"Jul 26, 1987",United States,D,Left,,,,29,1,5,6,0.21,-3,40,0.03,20:57,-,-,-,-,-,Standard (1-way),✔,"Dec 4, 2014",27,,,,6,UFA,UFA,2021,"$4,000,000",5.80%,"$4,000,000","$4,150,000","$4,150,000","$4,150,000",$0,$0
56. Nick Foligno,CBJ,31,"Oct 31, 1987",United States,"LW, C, RW",Left,,,,43,4,13,17,0.4,-6,80,0.05,17:42,-,-,-,-,-,Standard (1-way),✔,"Dec 31, 2014",27,,,"M-NTC, NMC",6,UFA,UFA,2021,"$5,500,000",8.00%,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
57. Nick Bjugstad,PIT,26,"Jul 17, 1992",United States,"C, RW",Right,,,,10,1,0,1,0.1,2,16,0.06,13:13,-,-,-,-,-,Standard (1-way),✔,"Dec 31, 2014",22,✔,,,6,RFA,UFA,2021,"$4,100,000",5.90%,"$4,100,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
58. Marc Staal,NYR,32,"Jan 13, 1987",Canada,D,Left,,,,27,2,4,6,0.22,4,24,0.08,18:10,-,-,-,-,-,Standard (1-way),✔,"Jan 18, 2015",28,,,NMC,6,UFA,UFA,2021,"$5,700,000",8.30%,"$5,700,000","$5,000,000","$4,000,000","$5,000,000","$1,000,000",$0
59. Nick Leddy,NYI,28,"Mar 20, 1991",United States,D,Left,,,,35,3,14,17,0.49,3,49,0.06,20:32,-,-,-,-,-,Standard (1-way),✔,"Feb 24, 2015",23,✔,,,7,RFA,UFA,2022,"$5,500,000",8.00%,"$5,500,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
60. Kyle Clifford,LAK,28,"Jan 13, 1991",Canada,LW,Left,,,,46,5,7,12,0.26,-4,71,0.07,11:19,-,-,-,-,-,Standard (1-way),✔,"Feb 25, 2015",24,✔,,,5,RFA,UFA,2020,"$1,600,000",2.30%,"$1,600,000","$1,900,000","$1,900,000","$1,900,000",$0,$0
61. Johnny Boychuk,NYI,35,"Jan 19, 1984",Canada,D,Right,,,,42,2,8,10,0.24,-1,71,0.03,17:48,-,-,-,-,-,Standard (1-way),✔,"Mar 12, 2015",31,,,M-NTC,7,UFA,UFA,2022,"$6,000,000",8.20%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
62. Christopher Tanev,VAN,29,"Dec 20, 1989",Canada,D,Right,,,,45,2,11,13,0.29,3,31,0.06,19:54,-,-,-,-,-,Standard (1-way),✔,"Mar 24, 2015",25,✔,,M-NTC,5,RFA,UFA,2020,"$4,450,000",6.40%,"$4,450,000","$5,250,000","$5,250,000","$5,250,000",$0,$0
63. John Klingberg,DAL,26,"Aug 14, 1992",Sweden,D,Right,,,,34,2,16,18,0.53,-9,63,0.03,22:39,-,-,-,-,-,Standard (1-way),✔,"Apr 17, 2015",22,,,,7,RFA,UFA,2022,"$4,250,000",6.20%,"$4,250,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
64. Jeff Petry,MTL,31,"Dec 9, 1987",United States,D,Right,,,,46,6,21,27,0.59,-10,110,0.05,23:30,-,-,-,-,-,Standard (1-way),✔,"Jun 2, 2015",27,,,"M-NTC, NMC",6,UFA,UFA,2021,"$5,500,000",8.00%,"$5,500,000","$4,000,000","$3,000,000","$4,000,000","$1,000,000",$0
65. Carl Söderberg,ARI,33,"Oct 12, 1985",Sweden,"C, LW",Left,,,,47,13,13,26,0.55,6,73,0.18,16:23,-,-,-,-,-,Standard (1-way),✔,"Jun 26, 2015",29,,,M-NTC,5,UFA,UFA,2020,"$4,750,000",6.50%,"$4,750,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
66. Devan Dubnyk,MIN,33,"May 4, 1986",Canada,G,Left,,,,21,-,-,-,-,-,-,-,-,8,10,1,3.16,0.898,Standard (1-way),✔,"Jun 27, 2015",29,,,M-NTC,6,UFA,UFA,2021,"$4,333,333",6.10%,"$4,333,333","$3,500,000","$3,500,000","$3,500,000",$0,$0
67. Brenden Dillon,SJS,28,"Nov 13, 1990",Canada,D,Left,,,,47,1,10,11,0.23,-1,43,0.02,19:04,-,-,-,-,-,Standard (1-way),✔,"Jun 29, 2015",24,✔,,,5,RFA,UFA,2020,"$3,270,000",4.60%,"$3,270,000","$3,900,000","$3,900,000","$3,900,000",$0,$0
68. Dougie Hamilton,CAR,26,"Jun 17, 1993",Canada,D,Right,,,,45,14,26,40,0.89,30,163,0.09,23:29,-,-,-,-,-,Standard (1-way),✔,"Jun 30, 2015",22,,,,6,RFA,UFA,2021,"$5,750,000",8.10%,"$5,750,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
69. Matt Beleskey,NYR,31,"Jun 7, 1988",Canada,LW,Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),,"Jul 1, 2015",27,,,,5,UFA,UFA,2020,"$3,800,000",5.20%,"$3,800,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
70. Michael Frolík,BUF,31,"Feb 17, 1988",Czech Republic,"LW, RW",Left,,,,40,5,5,10,0.25,-11,47,0.11,14:55,-,-,-,-,-,Standard (1-way),,"Jul 1, 2015",27,,,M-NTC,5,UFA,UFA,2020,"$4,300,000",5.90%,"$4,300,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
71. Artem Anisimov,OTT,31,"May 24, 1988",Russia,"C, LW",Left,,,,27,8,2,10,0.37,-11,49,0.16,14:06,-,-,-,-,-,Standard (1-way),✔,"Jul 1, 2015",27,,,,5,UFA,UFA,2021,"$4,550,000",6.20%,"$4,550,000","$4,000,000","$2,000,000","$4,000,000","$2,000,000",$0
72. Vili Saarijärvi,ARI,22,"May 15, 1997",Finland,D,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Jul 2, 2015",18,,,,3,ELC,RFA,2020,"$697,500",1.00%,"$930,000","$700,000",$0,"$65,000",$0,"$182,500"
73. Brandon Saad,CHI,26,"Oct 27, 1992",United States,"RW, LW",Left,,,,36,11,8,19,0.53,-2,84,0.13,16:24,-,-,-,-,-,Standard (1-way),,"Jul 3, 2015",22,,,,6,RFA,UFA,2021,"$6,000,000",8.20%,"$6,000,000","$6,750,000","$6,750,000","$6,750,000",$0,$0
74. Ryan O'Reilly,STL,28,"Feb 7, 1991",Canada,C,Left,,,,46,8,32,40,0.87,1,74,0.11,20:42,-,-,-,-,-,Standard (1-way),✔,"Jul 3, 2015",24,,,,7,UFA,UFA,2023,"$7,500,000",10.50%,"$7,500,000","$6,000,000","$1,000,000","$6,000,000","$5,000,000",$0
75. Dylan Strome,CHI,22,"Mar 7, 1997",Canada,C,Left,,✓,,40,10,20,30,0.75,3,64,0.16,16:44,-,-,-,-,-,Entry-Level,,"Jul 6, 2015",18,,,,3,ELC,RFA,2020,"$863,333",1.30%,"$3,338,333","$832,500",$0,"$70,000",$0,"$2,475,000"
76. Kole Sherwood,CBJ,22,"Jan 22, 1997",United States,"RW, C",Right,,✓,,3,0,0,0,0,0,6,0,6:38,-,-,-,-,-,Entry-Level,,"Jul 7, 2015",18,,,,3,ELC,RFA,2020,"$694,444",1.10%,"$777,777","$700,000","$700,000","$70,000",$0,"$20,000"
77. Vladimir Tarasenko,STL,27,"Dec 13, 1991",Russia,RW,Left,,,,10,3,7,10,1,-2,26,0.12,16:10,-,-,-,-,-,Standard (1-way),,"Jul 7, 2015",23,,,NTC,8,RFA,UFA,2023,"$7,500,000",10.30%,"$7,500,000","$9,500,000","$9,500,000","$9,500,000",$0,$0
78. Noah Juulsen,MTL,22,"Apr 2, 1997",Canada,D,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Jul 9, 2015",18,,,,3,ELC,RFA,2020,"$863,333",1.30%,"$1,063,333","$832,500","$832,500","$70,000",$0,"$175,000"
79. Yakov Trenin,NSH,22,"Jan 13, 1997",Russia,C,Left,,✓,,10,2,3,5,0.5,3,13,0.15,10:27,-,-,-,-,-,Entry-Level,,"Jul 10, 2015",18,,,,3,ELC,RFA,2020,"$730,833",1.10%,"$863,333","$750,000",$0,"$70,000",$0,"$82,500"
80. Erik Cernak,TBL,22,"May 28, 1997",Slovakia,D,Right,,✓,,41,3,5,8,0.2,4,81,0.04,18:36,-,-,-,-,-,Entry-Level,,"Jul 14, 2015",18,,,,3,ELC,RFA,2020,"$697,500",1.00%,"$890,000","$700,000",$0,"$70,000",$0,"$147,500"
81. Oliver Kylington,CGY,22,"May 19, 1997",Sweden,D,Left,,✓,,34,1,3,4,0.12,-6,26,0.04,13:22,-,-,-,-,-,Entry-Level,,"Jul 15, 2015",18,,,,3,ELC,RFA,2020,"$730,833",1.10%,"$863,333","$750,000",$0,"$70,000",$0,"$82,500"
